,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,gender
32,2,2,1,1,2,2,1,3,1,1,3,3,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,3,2,1,2,2
33,2,1,2,1,1,3,2,2,3,1,4,1,2,3,1,2,1,2,2,1,1,2,1,2,2,3,4,1,2,1,2,4,1,2,3,1,1,1,3,3,2,3,2
34,1,1,2,1,1,1,1,2,4,1,3,4,2,2,1,3,3,2,1,1,1,4,1,2,1,1,3,2,2,2,2,3,4,3,3,4,1,2,4,1,1,4,1
35,1,3,1,1,2,1,2,2,3,1,3,3,2,1,1,3,1,2,1,2,2,2,2,2,1,3,2,1,2,1,1,4,1,2,1,2,2,3,2,2,1,3,2
36,4,1,1,3,2,4,3,2,4,4,4,4,3,2,3,2,4,2,1,4,4,3,2,4,4,4,3,4,3,2,2,2,2,3,1,3,4,4,3,2,3,4,2
37,1,1,2,2,2,1,1,4,4,2,2,3,2,1,1,1,4,1,2,1,3,3,3,2,3,2,2,1,3,2,2,2,4,2,1,1,3,2,2,3,1,3,1
38,2,2,3,3,2,2,2,3,3,3,4,2,4,3,2,3,2,2,1,3,2,2,2,3,3,3,4,2,2,1,2,3,3,2,2,1,2,3,3,2,2,3,2
39,2,1,1,1,2,2,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1
40,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2
41,3,1,3,1,4,3,1,4,2,3,4,3,3,2,1,3,3,4,1,2,3,4,1,4,1,4,3,2,3,2,3,2,3,2,3,2,3,4,2,2,1,4,2
42,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,4,2,2,2,2,2,1,1,2,1,3,2,3,1,2,3,2,4,2,1,1,2,2,1,2,4,2
43,3,2,2,1,3,3,1,2,1,3,3,2,2,3,1,2,3,3,3,1,2,2,1,3,2,3,3,1,2,3,3,4,1,2,2,1,3,3,2,1,1,3,1
44,3,1,1,1,3,1,1,2,1,2,2,1,2,3,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,4,4,1,1,3,1,1,2,3,2,1,1,2
45,3,1,3,2,3,3,1,3,2,3,3,2,4,3,1,2,4,3,2,1,3,2,1,3,1,3,4,2,4,2,3,2,3,4,2,1,3,2,3,3,1,3,2
46,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,3,1,1,1,1,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2
47,4,1,4,3,3,4,2,4,4,3,3,4,4,1,1,3,3,3,2,3,4,3,4,3,2,4,3,3,3,1,4,4,4,4,3,3,2,4,3,4,2,2,2
48,4,1,4,2,3,4,1,4,3,1,3,4,4,1,2,2,3,2,1,3,3,2,1,3,2,3,3,3,4,2,2,4,3,3,3,3,2,2,1,4,1,4,2
49,4,1,1,2,2,2,1,2,1,1,4,4,2,1,1,2,1,1,1,1,2,3,1,2,3,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,4,2
50,2,1,3,3,4,2,1,2,2,4,3,3,4,1,4,4,2,4,1,3,4,2,1,3,2,4,3,2,1,2,4,2,3,3,3,3,4,4,4,2,1,4,3
51,3,2,4,2,3,2,3,4,2,3,3,2,4,3,2,3,3,2,2,2,3,3,2,3,2,4,3,3,3,3,3,3,3,4,2,1,3,3,3,3,2,4,2
52,1,1,3,3,3,1,1,2,1,3,1,2,3,1,1,4,4,3,1,2,4,2,2,3,2,2,1,1,2,3,3,1,2,4,2,2,3,4,1,2,1,4,2
53,3,1,1,2,3,4,4,3,4,2,2,4,2,3,2,1,2,3,1,3,3,3,1,2,3,2,2,4,4,2,1,3,4,3,2,2,1,2,2,4,3,3,2
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1
55,3,1,4,1,4,3,2,1,1,4,4,3,4,1,1,4,4,1,1,1,3,1,1,4,1,4,3,1,4,2,4,4,2,3,4,1,4,4,3,1,1,4,2
56,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2
57,2,3,2,3,2,3,1,2,2,3,2,3,2,3,2,2,2,2,3,1,1,2,3,2,2,1,3,2,2,2,2,3,2,1,3,1,2,1,2,1,3,4,2
58,4,4,4,4,4,1,3,1,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,2,1,4,4,4,1,4,4,4,4,4,4,3,4,3,2,4,4,4,1
59,2,1,1,1,3,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,3,1
60,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,3,1,1,1,2,2,1,2,2
61,2,2,3,1,3,2,1,2,3,2,3,2,4,3,2,2,2,4,2,3,1,2,1,2,2,4,2,2,2,2,1,2,2,2,4,2,1,1,2,3,2,2,2
62,3,2,3,3,4,4,2,2,3,4,4,2,3,3,2,3,4,3,2,2,4,3,2,3,1,3,2,2,4,2,2,2,2,3,4,2,4,4,3,4,2,3,3
63,1,1,2,1,2,1,1,3,1,2,1,1,2,3,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1
64,3,1,4,1,4,3,1,2,3,1,3,1,3,3,1,2,1,1,1,1,1,2,1,3,4,1,1,1,3,4,4,4,2,2,4,1,1,1,2,1,2,4,2
65,2,1,2,3,3,2,1,3,2,3,2,2,4,2,1,3,3,3,1,2,2,2,2,3,1,3,2,2,2,1,3,3,2,3,2,2,2,2,3,2,2,4,1
66,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,2,1,2,2,3,3,2,2,3,3,3,3,3,1,1,2,4,1,1,3,3,1,1,2,2,3,1,3,2,3,2,2,4,3,1,2,3,3,2,4,3,4,2
68,3,4,3,2,4,2,3,3,3,4,2,4,4,2,3,4,4,3,3,3,3,4,4,4,3,3,2,3,4,4,4,4,4,4,2,2,4,4,2,4,2,4,2
69,3,1,1,1,2,2,1,2,2,1,2,3,1,2,2,1,1,3,1,2,1,3,1,2,3,1,3,2,2,2,3,2,3,1,3,1,1,1,3,2,1,2,2
70,3,1,2,1,2,3,1,2,2,1,3,3,2,1,1,1,1,4,3,3,1,2,1,2,1,2,3,2,3,3,1,4,4,1,3,2,1,1,4,4,1,2,2
71,1,2,3,1,2,1,1,3,3,4,1,1,3,2,2,3,4,1,2,1,4,2,1,2,1,3,1,1,1,1,2,1,2,4,1,1,4,4,2,3,1,3,1
72,3,4,4,3,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2
73,2,1,2,1,3,2,1,2,1,2,2,3,2,2,1,3,2,2,1,2,2,3,1,2,1,2,2,2,2,2,2,3,3,2,1,2,2,2,3,1,2,3,2
74,2,1,1,4,4,3,4,4,3,1,3,4,4,2,2,2,1,1,3,4,1,3,1,2,2,4,2,4,4,1,1,2,4,1,2,3,1,1,3,3,4,4,2
75,3,4,4,4,2,4,4,4,4,2,3,3,4,2,3,3,4,2,4,3,4,4,4,2,3,3,2,4,3,2,2,4,3,4,2,4,3,3,2,4,4,4,2
76,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
77,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,3,1,1,2,1,1,2,2,2,1,1,3,2
78,3,1,3,1,4,4,2,4,4,4,4,4,4,4,2,3,4,4,3,1,4,4,1,4,4,4,4,3,3,1,4,3,4,4,3,1,4,4,4,4,3,4,2
79,2,3,2,2,3,4,3,3,3,3,3,4,3,1,3,2,2,1,4,3,2,3,1,2,3,2,1,4,2,3,2,2,3,2,1,3,1,2,3,3,3,3,2
80,1,1,1,1,3,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,1
81,4,1,2,1,4,4,2,4,2,1,3,4,2,2,2,2,3,4,1,2,2,4,1,2,1,2,4,3,4,2,2,1,2,4,2,2,1,3,3,3,1,4,2
82,4,2,2,3,3,2,2,2,2,1,2,3,3,4,2,2,1,2,1,2,1,3,1,2,4,2,2,4,2,2,1,3,2,2,2,3,1,1,4,3,2,4,2
83,3,2,1,1,2,2,1,2,2,2,3,3,1,4,1,3,2,3,1,2,1,2,1,2,2,1,4,2,1,2,1,4,3,1,4,1,1,1,4,4,2,3,2
84,1,2,4,2,4,1,2,2,2,3,2,3,4,3,2,3,3,2,2,2,4,3,1,4,3,3,3,2,4,2,4,2,1,3,2,2,4,4,3,2,2,4,2
85,4,4,2,3,3,4,3,4,3,2,4,4,4,4,3,2,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,2
86,2,1,3,1,3,2,1,2,3,3,3,3,3,2,1,4,4,2,1,1,4,3,1,2,1,3,4,2,2,3,3,3,3,4,2,3,3,4,3,4,1,4,2
87,3,2,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,1
88,3,4,3,4,4,4,4,4,4,4,4,3,4,1,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2
89,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
90,2,2,2,3,2,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,2,3,2,2,4,2,4,2
91,2,4,2,1,2,1,1,1,1,2,1,1,1,2,2,3,1,3,1,1,4,4,1,2,1,1,2,1,1,1,2,1,3,3,1,1,2,4,3,1,3,2,2
92,2,1,1,1,4,1,1,4,1,1,2,3,2,2,1,1,1,2,3,1,1,4,1,1,2,2,2,1,1,4,1,2,4,1,2,1,1,1,4,2,1,4,1
93,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,2
94,1,4,2,1,4,1,1,1,2,3,1,1,4,2,4,4,3,1,1,2,4,1,1,3,1,1,1,1,2,3,4,3,1,3,2,2,4,4,1,3,1,3,1
95,3,4,2,2,3,2,3,4,3,3,3,2,4,4,3,2,4,4,2,1,3,4,2,3,3,3,2,2,3,4,2,3,2,3,3,1,2,3,2,1,2,4,1
96,2,1,2,2,3,2,2,4,4,1,2,2,3,2,2,3,2,1,2,2,2,3,1,3,3,4,2,3,2,2,3,3,4,2,2,1,3,2,2,3,4,4,2
97,2,1,3,1,3,2,1,3,3,1,2,1,4,1,1,3,3,2,1,1,3,1,1,3,1,4,2,1,4,1,3,2,3,4,1,2,3,3,2,1,1,4,1
98,1,1,2,1,4,2,1,1,2,4,1,1,3,1,1,2,4,3,1,2,3,1,1,2,1,4,2,1,1,1,2,1,2,3,1,2,3,3,1,1,1,4,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2
101,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,3,2,1,2,1,1,1,1,2,1,2,3,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2
102,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2
103,3,1,3,1,4,2,1,3,1,3,2,1,2,3,1,4,1,3,1,1,3,3,1,4,1,3,3,1,2,1,3,4,1,1,3,2,2,2,3,1,1,4,2
104,2,1,2,1,4,3,1,2,1,1,2,1,2,1,1,2,1,3,1,1,1,4,1,1,2,1,4,2,4,1,2,3,1,2,3,1,1,1,4,1,1,4,2
105,2,1,2,1,4,1,1,3,2,1,1,3,2,1,1,1,1,2,3,1,2,2,4,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,4,2
106,1,1,2,1,3,2,1,2,2,1,1,2,2,1,3,4,3,1,2,1,1,1,1,2,2,3,2,3,2,1,3,4,2,2,4,3,2,1,1,2,1,4,1
107,1,2,2,1,3,4,1,3,2,2,4,2,4,2,1,2,3,4,1,2,3,2,1,2,2,4,4,3,4,3,2,4,4,2,1,2,2,3,4,1,2,3,2
108,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
109,2,1,3,1,3,2,1,2,2,4,2,3,4,1,1,2,4,1,1,1,3,3,1,4,1,3,1,3,1,1,3,1,4,4,3,4,3,2,1,1,1,3,2
110,2,2,3,1,4,2,1,2,2,4,2,1,4,3,1,4,4,2,1,2,4,1,1,3,1,3,3,4,1,1,4,2,1,4,3,1,4,4,2,1,2,4,1
111,3,1,2,3,4,2,2,4,4,4,4,3,4,1,4,3,3,4,2,3,4,3,1,2,2,4,3,2,3,1,4,2,4,4,2,4,4,4,4,2,3,4,3
112,3,3,3,4,4,1,4,3,3,4,2,3,4,1,3,4,4,1,3,4,4,4,1,4,4,3,2,4,1,3,4,4,3,4,4,2,4,4,2,3,4,4,1
113,3,1,2,1,2,2,1,2,1,3,3,2,4,1,3,2,2,4,2,1,2,1,2,4,2,3,2,2,3,3,3,1,2,2,2,2,2,2,2,1,1,3,2
114,3,1,2,3,2,2,1,3,4,2,3,3,2,2,2,2,1,3,2,2,1,1,1,2,2,1,3,1,3,3,2,2,3,1,2,1,2,2,1,3,2,2,2
115,3,2,2,2,3,2,1,2,3,2,3,3,3,2,1,2,3,2,2,1,2,3,2,2,1,2,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,1
116,3,1,1,4,1,3,1,1,1,2,2,3,2,1,1,2,1,1,1,2,2,2,1,1,3,2,3,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2
117,3,3,3,1,3,3,1,3,1,4,3,2,4,2,1,4,3,3,1,2,2,2,3,4,1,4,3,1,2,3,4,3,3,2,1,2,4,3,3,3,1,4,2
118,3,3,1,1,3,2,3,3,1,1,3,3,4,3,2,1,1,4,2,1,1,3,1,1,4,4,4,2,3,1,1,1,4,1,1,1,2,1,4,1,4,2,2
119,2,3,3,2,3,2,3,2,3,4,3,2,4,3,2,3,3,3,2,2,4,2,2,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,2,2,2,4,1
120,3,4,2,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,4,4,4,3,3,4,4,4,4,4,2,3,2
121,1,2,4,1,4,2,1,3,2,4,2,2,4,1,1,3,4,1,1,2,4,1,2,2,1,4,1,2,2,4,3,1,4,4,1,2,4,4,2,2,2,3,1
122,4,2,3,1,4,3,2,2,4,4,2,1,4,1,2,4,4,4,2,2,4,2,2,4,3,4,2,2,2,4,4,2,1,4,2,1,4,4,3,2,2,4,1
123,3,4,3,3,3,2,1,2,4,4,3,2,3,3,2,3,3,2,3,2,4,4,2,3,4,2,3,2,4,4,3,2,2,3,2,2,4,4,4,3,1,4,1
124,1,2,1,1,1,2,1,2,1,1,2,2,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2
125,3,3,2,2,2,3,3,3,2,2,2,4,2,4,4,2,2,3,3,1,4,3,2,3,3,4,3,3,2,2,3,3,3,4,2,2,2,3,3,4,2,3,2
126,1,1,2,2,4,2,2,2,2,4,2,2,4,2,1,3,3,3,1,2,2,2,1,4,1,4,2,2,2,2,4,2,2,3,2,2,3,2,2,1,1,4,2
127,3,1,1,1,3,3,1,2,1,1,2,1,3,2,1,1,2,2,1,1,1,2,1,2,1,3,3,2,2,1,2,2,2,2,2,1,1,2,3,1,1,2,2
128,4,1,4,1,3,2,1,3,2,1,4,1,3,4,2,4,2,4,1,1,4,2,1,4,2,4,3,2,3,3,4,4,4,2,4,1,1,3,2,2,3,3,2
129,2,1,3,1,4,1,1,2,3,3,2,2,3,1,2,3,3,3,1,2,3,2,1,3,2,3,2,2,1,1,3,2,3,2,2,1,2,2,2,3,1,4,3
130,3,1,3,1,2,2,2,2,3,4,3,3,4,3,3,4,4,1,2,3,4,2,1,3,2,4,2,3,3,2,2,3,4,4,2,1,4,4,2,4,1,4,1
131,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2
132,1,1,2,1,1,2,3,2,2,2,2,3,2,3,1,2,1,2,1,1,1,3,1,1,2,1,2,1,3,2,2,2,4,1,2,2,1,1,2,3,2,3,2
133,3,1,2,1,2,4,1,3,3,3,3,3,4,3,1,3,3,1,1,3,3,3,1,3,1,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,1,3,2
134,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2
135,1,1,1,3,3,1,2,3,4,4,1,1,4,1,1,4,4,1,2,1,4,2,1,1,2,4,1,2,1,1,4,1,1,4,1,2,3,4,1,2,2,3,1
136,2,1,3,1,2,3,1,3,2,2,3,2,3,1,1,4,2,2,1,1,3,3,1,4,1,3,2,2,3,1,4,3,3,3,3,1,2,3,2,1,2,3,1
137,2,2,3,2,4,3,4,2,3,4,4,3,4,3,4,2,3,3,2,4,4,4,1,1,2,4,2,4,4,3,2,3,3,3,1,4,4,4,3,3,4,3,2
138,2,1,2,1,2,2,2,2,1,2,3,1,3,2,2,2,2,1,2,1,3,2,1,2,2,3,1,2,2,1,2,1,3,2,1,2,2,2,2,1,1,3,2
139,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
140,3,4,4,4,4,3,2,3,4,4,3,4,4,2,1,4,4,2,4,4,4,4,1,4,4,3,4,4,4,3,4,3,4,4,2,4,4,4,3,3,1,4,2
141,1,1,4,3,4,2,3,4,4,4,1,4,4,4,4,4,4,2,4,2,4,2,3,4,4,4,4,2,1,1,4,4,4,4,4,2,4,4,3,4,2,4,2
142,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,3,1,1,2,1,2,2,2,1,1,2,2,1,2,2
143,2,1,1,1,4,2,1,1,4,3,1,2,3,1,1,1,4,2,3,4,1,1,1,1,4,2,3,1,4,2,3,2,3,3,3,3,2,1,3,3,1,4,1
144,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
145,3,1,2,4,2,4,1,2,4,4,4,3,2,1,2,1,2,2,1,3,1,3,1,1,2,3,4,3,3,4,2,4,4,2,2,3,1,2,3,4,2,2,2
146,2,1,1,2,3,2,1,2,2,2,2,1,2,3,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,3,2
147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
148,2,1,1,2,2,3,2,2,3,2,3,4,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,3,3,2,2,2,1,1,2,2,2,2,3
149,2,1,1,1,1,1,1,2,4,1,2,1,2,1,1,3,1,1,1,1,1,1,1,2,1,3,1,1,2,3,2,2,1,1,1,1,1,2,2,2,1,3,1
150,4,1,1,1,1,1,1,2,3,3,3,1,1,1,2,2,2,3,1,2,1,3,1,1,1,3,4,1,2,2,1,1,2,3,1,1,1,1,1,3,1,3,3
151,1,2,2,2,2,1,1,2,2,2,3,2,1,2,1,2,2,1,2,3,2,2,3,2,2,1,1,3,3,3,2,4,2,2,4,2,3,2,1,2,1,2,1
152,2,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,3,2,1,1,2,2,3,2,2,1,2,2,1,3,1
153,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,4,4,4,4,3,4,2
